symbol,kind,status,error_msg,collected_at
AAM.U,stock,delisted,empty 1mo history,2026-02-04 12:49:44
ABRpD,stock,delisted,empty 1mo history,2026-02-04 12:50:50
ABRpE,stock,delisted,empty 1mo history,2026-02-04 12:50:55
ABRpF,stock,delisted,empty 1mo history,2026-02-04 12:51:00
ACRpC,stock,delisted,empty 1mo history,2026-02-04 12:53:09
ACRpD,stock,delisted,empty 1mo history,2026-02-04 12:53:15
ADCpA,stock,delisted,empty 1mo history,2026-02-04 12:54:19
AGM.A,stock,delisted,empty 1mo history,2026-02-04 12:57:44
AGMpD,stock,delisted,empty 1mo history,2026-02-04 12:57:50
AGMpE,stock,delisted,empty 1mo history,2026-02-04 12:57:55
AGMpF,stock,delisted,empty 1mo history,2026-02-04 12:58:00
AGMpG,stock,delisted,empty 1mo history,2026-02-04 12:58:05
AGMpH,stock,delisted,empty 1mo history,2026-02-04 12:58:12
AHHpA,stock,delisted,empty 1mo history,2026-02-04 12:58:53
AHLpD,stock,delisted,empty 1mo history,2026-02-04 12:59:02
AHLpE,stock,delisted,empty 1mo history,2026-02-04 12:59:06
AHLpF,stock,delisted,empty 1mo history,2026-02-04 12:59:10
AHTpD,stock,delisted,empty 1mo history,2026-02-04 12:59:25
AHTpF,stock,delisted,empty 1mo history,2026-02-04 12:59:31
AHTpG,stock,delisted,empty 1mo history,2026-02-04 12:59:35
AHTpH,stock,delisted,empty 1mo history,2026-02-04 12:59:40
AHTpI,stock,delisted,empty 1mo history,2026-02-04 12:59:45
AIIA.U,stock,delisted,empty 1mo history,2026-02-04 13:00:13
AKO.A,stock,delisted,empty 1mo history,2026-02-04 13:01:35
AKO.B,stock,delisted,empty 1mo history,2026-02-04 13:01:41
ALBpA,stock,delisted,empty 1mo history,2026-02-04 13:02:09
ALLpB,stock,delisted,empty 1mo history,2026-02-04 13:03:39
ALLpH,stock,delisted,empty 1mo history,2026-02-04 13:03:45
ALLpI,stock,delisted,empty 1mo history,2026-02-04 13:03:49
ALLpJ,stock,delisted,empty 1mo history,2026-02-04 13:03:53
ALTGpA,stock,delisted,empty 1mo history,2026-02-04 13:04:47
ALUB.U,stock,delisted,empty 1mo history,2026-02-04 13:05:03
AMHpG,stock,delisted,empty 1mo history,2026-02-04 13:06:11
AMHpH,stock,delisted,empty 1mo history,2026-02-04 13:06:17
ANGpD,stock,delisted,empty 1mo history,2026-02-04 13:08:09
APOpA,stock,delisted,empty 1mo history,2026-02-04 13:10:21
ARESpB,stock,delisted,empty 1mo history,2026-02-04 13:12:09
ARRpC,stock,delisted,empty 1mo history,2026-02-04 13:13:04
ASBpE,stock,delisted,empty 1mo history,2026-02-04 13:13:49
ASBpF,stock,delisted,empty 1mo history,2026-02-04 13:13:54
ATHpA,stock,delisted,empty 1mo history,2026-02-04 13:15:49
ATHpB,stock,delisted,empty 1mo history,2026-02-04 13:15:52
ATHpD,stock,delisted,empty 1mo history,2026-02-04 13:15:57
ATHpE,stock,delisted,empty 1mo history,2026-02-04 13:16:02
AUBpA,stock,delisted,empty 1mo history,2026-02-04 13:17:37
AXIAp,stock,delisted,empty 1mo history,2026-02-04 13:20:00
AXIApC,stock,delisted,empty 1mo history,2026-02-04 13:20:06
AXSpE,stock,delisted,empty 1mo history,2026-02-04 13:20:41
BACpB,stock,delisted,empty 1mo history,2026-02-04 13:21:34
BACpE,stock,delisted,empty 1mo history,2026-02-04 13:21:40
