2026-02-08 14:13:10,812 | WARNING | A | annual | 2021-10-31 | missing:net_income,total_revenue,total_assets,net_assets,enterprise_value
2026-02-08 14:13:10,812 | WARNING | AAL | annual | 2025-12-31 | missing:net_income,total_revenue,total_assets,net_assets,enterprise_value
2026-02-08 14:13:10,812 | WARNING | AAPL | annual | 2021-09-30 | missing:net_income,total_revenue,total_assets,net_assets,enterprise_value
2026-02-08 14:13:10,812 | WARNING | AARD | annual | 2022-12-31 | missing:enterprise_value
2026-02-08 14:13:10,813 | WARNING | AARD | annual | 2023-12-31 | missing:enterprise_value
2026-02-08 14:13:10,813 | WARNING | AARD | annual | 2024-12-31 | missing:enterprise_value
2026-02-08 14:25:16,338 | WARNING | A | annual | 2021-10-31 | missing:net_income,total_revenue,total_assets,net_assets,enterprise_value
2026-02-08 14:25:16,338 | WARNING | AAL | annual | 2025-12-31 | missing:net_income,total_revenue,total_assets,net_assets,enterprise_value
2026-02-08 14:25:16,338 | WARNING | AAPL | annual | 2021-09-30 | missing:net_income,total_revenue,total_assets,net_assets,enterprise_value
2026-02-08 14:25:16,338 | WARNING | AARD | annual | 2022-12-31 | missing:enterprise_value
2026-02-08 14:25:16,338 | WARNING | AARD | annual | 2023-12-31 | missing:enterprise_value
2026-02-08 14:25:16,338 | WARNING | AARD | annual | 2024-12-31 | missing:enterprise_value
2026-02-08 14:30:30,295 | WARNING | A | annual | 2021-10-31 | missing:net_income,total_revenue,total_assets,net_assets,enterprise_value
2026-02-08 14:30:30,296 | WARNING | AAL | annual | 2025-12-31 | missing:net_income,total_revenue,total_assets,net_assets,enterprise_value
2026-02-08 14:30:30,296 | WARNING | AAPL | annual | 2021-09-30 | missing:net_income,total_revenue,total_assets,net_assets,enterprise_value
2026-02-08 14:30:30,296 | WARNING | AARD | annual | 2022-12-31 | missing:enterprise_value
2026-02-08 14:30:30,296 | WARNING | AARD | annual | 2023-12-31 | missing:enterprise_value
2026-02-08 14:30:30,296 | WARNING | AARD | annual | 2024-12-31 | missing:enterprise_value
2026-02-08 14:33:50,133 | WARNING | A | annual | 2021-10-31 | missing:net_income,total_revenue,total_assets,net_assets,enterprise_value
2026-02-08 14:33:50,134 | WARNING | AAL | annual | 2025-12-31 | missing:net_income,total_revenue,total_assets,net_assets,enterprise_value
2026-02-08 14:33:50,134 | WARNING | AAPL | annual | 2021-09-30 | missing:net_income,total_revenue,total_assets,net_assets,enterprise_value
2026-02-08 14:33:50,134 | WARNING | AARD | annual | 2022-12-31 | missing:enterprise_value
